image,score,timestamp
41N_20250725_102155.JPG,0,2025-08-18 07:49:50
18N_20250716_030932.JPG,2,2025-08-18 07:49:59
31LR_20250701_225750.JPG,2,2025-08-18 07:50:07
71R_20250711_055519.JPG,2,2025-08-18 07:50:11
41R_20250723_100631.JPG,0,2025-08-18 07:50:13
74L_20250627_074205.JPG,1,2025-08-18 07:50:26
18L_20250721_160618.JPG,1,2025-08-18 07:50:30
34LR_20250704_070404.JPG,1,2025-08-18 07:50:37
31LR_20250711_055205.JPG,0,2025-08-18 07:51:10
31LR_20250714_030014.JPG,2,2025-08-18 07:51:13
41L_20250627_073517.JPG,1,2025-08-18 07:51:17
71N_20250704_073310.JPG,0,2025-08-18 07:51:26
72L_20250716_032543.JPG,0,2025-08-18 07:51:31
22N_20250709_033810.JPG,1,2025-08-18 07:51:34
31R_20250721_161050.JPG,0,2025-08-18 07:51:36
50R_20250627_074442.JPG,1,2025-08-18 07:51:41
34N_20250704_070158.JPG,1,2025-08-18 07:51:45
18R_20250630_072026.JPG,2,2025-08-18 07:51:48
41R_20250714_022732.JPG,0,2025-08-18 07:51:51
34RR_20250714_022521.JPG,2,2025-08-18 07:51:56
87LR_20250723_100047.JPG,1,2025-08-18 07:52:02
50L_20250704_071836.JPG,1,2025-08-18 07:52:08
18N_20250701_225429.JPG,2,2025-08-18 07:52:11
87R_20250721_154311.JPG,1,2025-08-18 07:52:22
87N_20250725_074745.JPG,3,2025-08-18 07:52:33
87N_20250711_052523.JPG,1,2025-08-18 07:52:38
34L_20250627_073304.JPG,1,2025-08-18 07:52:41
87LR_20250718_003916.JPG,1,2025-08-18 07:52:44
31N_20250716_031754.JPG,1,2025-08-18 07:52:51
34L_20250709_032238.JPG,2,2025-08-18 07:52:56
31LR_20250718_012055.JPG,1,2025-08-18 07:53:00
74R_20250718_010342.JPG,3,2025-08-18 07:53:09
87R_20250709_031800.JPG,2,2025-08-18 07:53:17
74L_20250716_030326.JPG,2,2025-08-18 07:53:38
87R_20250714_021801.JPG,1,2025-08-18 07:53:41
22N_20250711_053432.JPG,1,2025-08-18 07:53:45
87LR_20250704_070051.JPG,1,2025-08-18 07:53:59
71LR_20250709_035336.JPG,0,2025-08-18 07:54:02
74LR_20250725_113553.JPG,2,2025-08-18 07:54:20
72N_20250711_055819.JPG,0,2025-08-18 07:54:27
34L_20250716_024711.JPG,3,2025-08-18 07:54:34
87L_20250704_070002.JPG,1,2025-08-18 07:54:40
71R_20250627_075151.JPG,2,2025-08-18 07:54:45
87L_20250701_223237.JPG,1,2025-08-18 07:54:48
18LR_20250627_074631.JPG,1,2025-08-18 07:54:54
74R_20250704_071553.JPG,3,2025-08-18 07:54:56
31LR_20250709_034344.JPG,0,2025-08-18 07:54:59
18N_20250723_102023.JPG,0,2025-08-18 07:55:04
22R_20250711_053539.JPG,2,2025-08-18 07:55:08
87L_20250627_072719.JPG,1,2025-08-18 07:55:18
72L_20250723_103244.JPG,0,2025-08-18 07:55:22
87R_20250630_070126.JPG,2,2025-08-18 07:55:31
18R_20250711_054801.JPG,2,2025-08-18 07:55:41
72N_20250630_073459.JPG,0,2025-08-18 07:55:45
72R_20250723_103025.JPG,0,2025-08-18 07:55:47
34L_20250711_052804.JPG,3,2025-08-18 07:55:57
74R_20250716_030118.JPG,3,2025-08-18 07:56:01
34L_20250709_032227.JPG,2,2025-08-18 07:56:05
34N_20250709_032128.JPG,2,2025-08-18 07:56:10
22R_20250714_023144.JPG,1,2025-08-18 07:56:12
74R_20250723_101222.JPG,3,2025-08-18 07:56:16
87R_20250704_065928.JPG,3,2025-08-18 07:56:25
22L_20250704_071130.JPG,1,2025-08-18 07:56:32
22LR_20250716_025716.JPG,0,2025-08-18 07:56:35
18L_20250711_054541.JPG,2,2025-08-18 07:56:43
72R_20250714_031212.JPG,0,2025-08-18 07:56:45
74N_20250701_224421.JPG,0,2025-08-18 07:56:55
50LR_20250714_024437.JPG,0,2025-08-18 07:56:57
71LR_20250721_161303.JPG,0,2025-08-18 07:57:03
18R_20250723_101804.JPG,1,2025-08-18 07:57:09
74LR_20250709_035534.JPG,2,2025-08-18 07:57:13
71LR_20250711_055440.JPG,0,2025-08-18 07:57:19
41L_20250723_100549.JPG,3,2025-08-18 07:57:37
87R_20250627_072848.JPG,3,2025-08-18 07:58:01
34RR_20250725_094025.JPG,2,2025-08-18 07:58:05
31R_20250701_225659.JPG,0,2025-08-18 07:58:08
50L_20250630_071620.JPG,2,2025-08-18 07:58:11
87LR_20250627_073001.JPG,2,2025-08-18 07:58:15
74L_20250711_053832.JPG,1,2025-08-18 07:58:26
22L_20250718_005851.JPG,1,2025-08-18 07:58:29
31RR_20250723_102525.JPG,2,2025-08-18 07:58:31
