image,score,timestamp
41N_20250725_102155.JPG,0,2025-08-18 15:03:23
18N_20250716_030932.JPG,0,2025-08-18 15:04:04
31LR_20250701_225750.JPG,3,2025-08-18 15:04:17
71R_20250711_055519.JPG,2,2025-08-18 15:04:38
41R_20250723_100631.JPG,3,2025-08-18 15:04:48
74L_20250627_074205.JPG,1,2025-08-18 15:04:57
18L_20250721_160618.JPG,0,2025-08-18 15:05:06
34LR_20250704_070404.JPG,0,2025-08-18 15:05:31
31LR_20250711_055205.JPG,0,2025-08-18 15:05:35
31LR_20250714_030014.JPG,0,2025-08-18 15:05:40
41L_20250627_073517.JPG,1,2025-08-18 15:05:44
71N_20250704_073310.JPG,0,2025-08-18 15:07:17
72L_20250716_032543.JPG,0,2025-08-18 15:07:20
22N_20250709_033810.JPG,0,2025-08-18 15:07:23
31R_20250721_161050.JPG,3,2025-08-18 15:07:29
50R_20250627_074442.JPG,0,2025-08-18 15:07:36
34N_20250704_070158.JPG,0,2025-08-18 15:07:38
18R_20250630_072026.JPG,1,2025-08-18 15:07:41
41R_20250714_022732.JPG,3,2025-08-18 15:07:45
34RR_20250714_022521.JPG,0,2025-08-18 15:07:49
87LR_20250723_100047.JPG,0,2025-08-18 15:07:52
50L_20250704_071836.JPG,0,2025-08-18 15:07:55
18N_20250701_225429.JPG,1,2025-08-18 15:07:57
87R_20250721_154311.JPG,0,2025-08-18 15:08:00
87N_20250725_074745.JPG,0,2025-08-18 15:08:04
87N_20250711_052523.JPG,1,2025-08-18 15:08:07
34L_20250627_073304.JPG,1,2025-08-18 15:08:10
87LR_20250718_003916.JPG,0,2025-08-18 15:08:13
31N_20250716_031754.JPG,0,2025-08-18 15:08:16
34L_20250709_032238.JPG,0,2025-08-18 15:08:20
31LR_20250718_012055.JPG,3,2025-08-18 15:08:23
74R_20250718_010342.JPG,1,2025-08-18 15:08:26
87R_20250709_031800.JPG,2,2025-08-18 15:08:32
74L_20250716_030326.JPG,0,2025-08-18 15:08:35
87R_20250714_021801.JPG,0,2025-08-18 15:08:38
22N_20250711_053432.JPG,0,2025-08-18 15:08:41
87LR_20250704_070051.JPG,0,2025-08-18 15:08:43
71LR_20250709_035336.JPG,3,2025-08-18 15:08:46
74LR_20250725_113553.JPG,0,2025-08-18 15:08:49
72N_20250711_055819.JPG,3,2025-08-18 15:08:52
34L_20250716_024711.JPG,2,2025-08-18 15:08:57
87L_20250704_070002.JPG,2,2025-08-18 15:09:14
71R_20250627_075151.JPG,1,2025-08-18 15:09:22
87L_20250701_223237.JPG,2,2025-08-18 15:09:27
18LR_20250627_074631.JPG,0,2025-08-18 15:09:30
74R_20250704_071553.JPG,0,2025-08-18 15:09:35
31LR_20250709_034344.JPG,3,2025-08-18 15:09:39
18N_20250723_102023.JPG,0,2025-08-18 15:09:41
22R_20250711_053539.JPG,0,2025-08-18 15:09:46
87L_20250627_072719.JPG,2,2025-08-18 15:09:51
72L_20250723_103244.JPG,0,2025-08-18 15:09:56
87R_20250630_070126.JPG,0,2025-08-18 15:09:59
18R_20250711_054801.JPG,0,2025-08-18 15:10:01
72N_20250630_073459.JPG,3,2025-08-18 15:10:13
72R_20250723_103025.JPG,3,2025-08-18 15:10:16
34L_20250711_052804.JPG,2,2025-08-18 15:10:19
74R_20250716_030118.JPG,0,2025-08-18 15:10:22
34L_20250709_032227.JPG,0,2025-08-18 15:10:26
34N_20250709_032128.JPG,1,2025-08-18 15:10:29
22R_20250714_023144.JPG,0,2025-08-18 15:10:31
74R_20250723_101222.JPG,2,2025-08-18 15:10:36
87R_20250704_065928.JPG,1,2025-08-18 15:10:40
22L_20250704_071130.JPG,3,2025-08-18 15:10:44
22LR_20250716_025716.JPG,3,2025-08-18 15:10:49
18L_20250711_054541.JPG,0,2025-08-18 15:10:59
72R_20250714_031212.JPG,3,2025-08-18 15:11:02
74N_20250701_224421.JPG,3,2025-08-18 15:11:06
50LR_20250714_024437.JPG,2,2025-08-18 15:11:19
71LR_20250721_161303.JPG,0,2025-08-18 15:11:23
18R_20250723_101804.JPG,0,2025-08-18 15:11:26
74LR_20250709_035534.JPG,1,2025-08-18 15:11:29
71LR_20250711_055440.JPG,3,2025-08-18 15:11:37
41L_20250723_100549.JPG,2,2025-08-18 15:12:20
87R_20250627_072848.JPG,1,2025-08-18 15:12:25
34RR_20250725_094025.JPG,3,2025-08-18 15:12:30
31R_20250701_225659.JPG,3,2025-08-18 15:12:33
50L_20250630_071620.JPG,1,2025-08-18 15:12:36
87LR_20250627_073001.JPG,0,2025-08-18 15:12:41
74L_20250711_053832.JPG,0,2025-08-18 15:12:44
22L_20250718_005851.JPG,3,2025-08-18 15:12:55
31RR_20250723_102525.JPG,3,2025-08-18 15:12:58
22L_20250630_071139.JPG,3,2025-08-18 15:13:02
34L_20250701_223531.JPG,1,2025-08-18 15:13:06
18R_20250714_025439.JPG,0,2025-08-18 15:13:09
41L_20250711_053108.JPG,0,2025-08-18 15:13:12
22R_20250627_073839.JPG,0,2025-08-18 15:13:30
22LR_20250718_005440.JPG,0,2025-08-18 15:13:35
22N_20250725_104252.JPG,0,2025-08-18 15:13:40
22LR_20250704_070946.JPG,3,2025-08-18 15:13:44
71L_20250718_012224.JPG,0,2025-08-18 15:13:47
18R_20250704_072145.JPG,0,2025-08-18 15:13:50
31LR_20250721_160900.JPG,3,2025-08-18 15:13:53
31N_20250721_161143.JPG,3,2025-08-18 15:14:03
18LR_20250630_072111.JPG,0,2025-08-18 15:14:10
72N_20250701_230211.JPG,3,2025-08-18 15:14:14
18N_20250627_074741.JPG,1,2025-08-18 15:14:17
50LR_20250716_030610.JPG,3,2025-08-18 15:14:38
22LR_20250630_071105.JPG,3,2025-08-18 15:14:42
31N_20250723_102334.JPG,3,2025-08-18 15:14:52
50N_20250714_024338.JPG,3,2025-08-18 15:14:55
71LR_20250630_073058.JPG,0,2025-08-18 15:15:03
31LR_20250716_031428.JPG,0,2025-08-18 15:15:07
72N_20250627_075447.JPG,0,2025-08-18 15:15:16
87LR_20250721_154152.JPG,0,2025-08-18 15:15:19
41L_20250718_005009.JPG,2,2025-08-18 15:15:24
50LR_20250704_072038.JPG,3,2025-08-18 15:15:29
31RR_20250714_030131.JPG,0,2025-08-18 15:15:35
71L_20250721_161351.JPG,0,2025-08-18 15:15:40
71R_20250701_230050.JPG,0,2025-08-18 15:15:43
41N_20250704_070601.JPG,3,2025-08-18 15:15:47
34RR_20250627_073336.JPG,1,2025-08-18 15:15:49
87L_20250627_072649.JPG,3,2025-08-18 15:15:53
74N_20250725_113000.JPG,3,2025-08-18 15:15:56
18LR_20250704_072358.JPG,0,2025-08-18 15:15:59
31R_20250709_034826.JPG,6,2025-08-18 15:16:14
22L_20250721_155104.JPG,3,2025-08-18 15:16:20
72N_20250721_161901.JPG,0,2025-08-18 15:16:25
87L_20250716_024236.JPG,3,2025-08-18 15:16:28
72R_20250704_074142.JPG,3,2025-08-18 15:16:31
50L_20250723_101521.JPG,0,2025-08-18 15:16:34
74N_20250721_155717.JPG,0,2025-08-18 15:16:39
34RR_20250721_154705.JPG,2,2025-08-18 15:16:42
50LR_20250721_160059.JPG,0,2025-08-18 15:16:47
87R_20250725_085056.JPG,0,2025-08-18 15:16:50
71LR_20250704_073422.JPG,3,2025-08-18 15:16:53
31RR_20250701_225538.JPG,0,2025-08-18 15:16:56
31LR_20250630_072419.JPG,3,2025-08-18 15:16:59
34N_20250725_092508.JPG,3,2025-08-18 15:17:02
72L_20250718_012712.JPG,0,2025-08-18 15:17:05
50N_20250711_054359.JPG,3,2025-08-18 15:17:08
71R_20250725_130435.JPG,3,2025-08-18 15:17:11
34L_20250723_100148.JPG,0,2025-08-18 15:17:15
72L_20250711_055916.JPG,0,2025-08-18 15:17:18
87LR_20250711_052624.JPG,1,2025-08-18 15:17:22
18L_20250716_031123.JPG,3,2025-08-18 15:17:25
41L_20250709_033417.JPG,1,2025-08-18 15:17:27
74LR_20250721_155557.JPG,0,2025-08-18 15:17:30
22N_20250714_023708.JPG,0,2025-08-18 15:17:32
87L_20250718_003814.JPG,3,2025-08-18 15:17:35
87R_20250701_223307.JPG,1,2025-08-18 15:17:38
22LR_20250627_073927.JPG,3,2025-08-18 15:17:45
50N_20250716_030757.JPG,3,2025-08-18 15:17:49
71LR_20250627_075310.JPG,0,2025-08-18 15:17:54
74LR_20250701_224534.JPG,0,2025-08-18 15:17:59
22L_20250711_053401.JPG,3,2025-08-18 15:18:04
72R_20250721_161808.JPG,3,2025-08-18 15:18:07
22N_20250627_073803.JPG,0,2025-08-18 15:18:10
22R_20250721_155224.JPG,2,2025-08-18 15:18:14
71LR_20250716_032122.JPG,3,2025-08-18 15:18:18
22LR_20250711_053705.JPG,3,2025-08-18 15:18:20
