image,score,timestamp
18N_20250716_030932.JPG,0,2025-08-13 15:50:25
31LR_20250701_225750.JPG,1,2025-08-13 14:42:46
71R_20250711_055519.JPG,2,2025-08-13 15:55:02
74L_20250627_074205.JPG,0,2025-08-13 14:59:06
34LR_20250704_070404.JPG,3,2025-08-13 14:42:54
31LR_20250711_055205.JPG,2,2025-08-13 15:05:14
31LR_20250714_030014.JPG,3,2025-08-13 15:01:03
41L_20250627_073517.JPG,2,2025-08-13 15:55:38
71N_20250704_073310.JPG,0,2025-08-13 15:50:42
72L_20250716_032543.JPG,0,2025-08-13 15:54:44
22N_20250709_033810.JPG,0,2025-08-13 15:02:07
50R_20250627_074442.JPG,2,2025-08-13 14:54:59
34N_20250704_070158.JPG,1,2025-08-13 14:44:29
18R_20250630_072026.JPG,0,2025-08-13 15:58:02
41R_20250714_022732.JPG,6,2025-08-13 15:52:53
34RR_20250714_022521.JPG,0,2025-08-13 14:54:51
50L_20250704_071836.JPG,0,2025-08-13 15:52:30
18N_20250701_225429.JPG,2,2025-08-13 14:44:15
87N_20250711_052523.JPG,1,2025-08-13 14:57:22
34L_20250627_073304.JPG,1,2025-08-13 15:59:42
87LR_20250718_003916.JPG,1,2025-08-13 14:56:57
31N_20250716_031754.JPG,1,2025-08-13 15:56:41
34L_20250709_032238.JPG,0,2025-08-13 15:03:01
31LR_20250718_012055.JPG,1,2025-08-13 14:59:25
74R_20250718_010342.JPG,1,2025-08-13 16:00:17
87R_20250709_031800.JPG,0,2025-08-13 15:02:03
74L_20250716_030326.JPG,1,2025-08-13 14:58:15
87R_20250714_021801.JPG,0,2025-08-13 15:52:35
22N_20250711_053432.JPG,0,2025-08-13 15:58:08
87LR_20250704_070051.JPG,0,2025-08-13 16:01:15
71LR_20250709_035336.JPG,4,2025-08-13 15:00:54
72N_20250711_055819.JPG,3,2025-08-13 14:39:48
34L_20250716_024711.JPG,1,2025-08-13 14:41:09
87L_20250704_070002.JPG,4,2025-08-13 15:59:17
71R_20250627_075151.JPG,1,2025-08-13 14:41:58
87L_20250701_223237.JPG,3,2025-08-13 15:53:38
18LR_20250627_074631.JPG,0,2025-08-13 15:57:30
74R_20250704_071553.JPG,2,2025-08-13 15:58:22
31LR_20250709_034344.JPG,0,2025-08-13 15:01:36
22R_20250711_053539.JPG,0,2025-08-13 15:58:00
